Aus," 8,250 "
Aut," 11,020 "
Bel," 19,940 "
Can," 23,160 "
Dnk," 4,970 "
Fin," 4,020 "
Fra," 47,790 "
DEU," 41,330 "
Grc," 10,270 "
Irl," 1,940 "
Ita," 8,190 "
Nld," 13,330 "
Nor," 10,060 "
ESP," 2,740 "
Swe," 31,820 "
GBR," 22,090 "
Usa," 41,005 "
